Year,A-Production,A-Released,T-Production,T-Released,T-Unreleased
1931,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.0,0.0
1933,0.0,0.0,0.0,0.0,0.0
1934,0.0,0.0,0.0,0.0,0.0
1935,0.0,0.0,0.1,0.0,0.1
1936,0.1,0.0,0.2,0.0,0.2
1937,0.1,0.0,0.3,0.1,0.3
1938,0.1,0.1,0.4,0.1,0.3
1939,0.1,0.1,0.5,0.2,0.3
1940,0.2,0.1,0.7,0.3,0.4
1941,0.3,0.1,1.0,0.4,0.6
1942,0.3,0.1,1.3,0.5,0.8
1943,0.4,0.2,1.7,0.7,1.0
1944,0.4,0.2,2.1,1.0,1.1
1945,0.4,0.3,2.4,1.2,1.2
1946,0.7,0.6,3.2,1.9,1.3
1947,1.3,1.3,4.5,3.1,1.4
1948,3.0,2.3,7.6,5.5,2.1
1949,4.6,3.8,12.1,9.3,2.8
1950,6.7,5.5,18.8,14.8,4.1
1951,9.2,7.6,28.0,22.4,5.6
1952,13.8,11.0,41.8,33.4,8.4
1953,17.5,15.0,59.3,48.3,11.0
1954,21.2,18.6,80.6,66.9,13.7
1955,26.7,23.0,107.2,89.9,17.3
1956,33.0,28.7,140.2,118.6,21.5
1957,34.4,32.2,174.6,150.8,23.8
1958,30.0,30.2,204.6,181.0,23.6
1959,36.1,30.9,240.7,211.9,28.8
1960,50.5,40.5,291.2,252.4,38.8
1961,61.4,52.1,352.5,304.5,48.0
1962,79.3,65.4,431.8,369.9,61.9
1963,94.7,80.0,526.5,449.9,76.6
1964,112.8,95.0,639.3,544.9,94.3
1965,124.7,108.3,763.9,653.2,110.7
1966,143.1,121.3,907.1,774.5,132.6
1967,162.2,137.6,1069.2,912.2,157.1
1968,185.9,156.8,1255.1,1068.9,186.1
1969,220.5,181.9,1475.6,1250.8,224.8
1970,241.7,206.6,1717.3,1457.4,259.9
1971,267.1,226.9,1984.5,1684.3,300.1
1972,311.5,255.8,2295.9,1940.1,355.8
1973,354.3,292.4,2650.2,2232.5,417.7
1974,375.3,321.4,3025.5,2554.0,471.5
1975,318.8,310.9,3344.3,2864.9,479.4
1976,344.9,316.7,3689.2,3181.5,507.7
1977,325.3,303.9,4014.5,3485.5,529.0
1978,313.5,283.6,4328.0,3769.1,558.9
1979,293.8,263.7,4621.8,4032.8,589.0
1980,294.0,250.8,4915.8,4283.6,632.1
1981,291.2,248.2,5207.0,4531.8,675.2
1982,275.5,239.5,5482.5,4771.3,711.2
1983,296.1,252.8,5778.6,5024.1,754.5
1984,317.0,271.1,6095.7,5295.2,800.5
1985,331.7,280.8,6427.4,5576.0,851.4
1986,355.4,295.1,6782.8,5871.1,911.7
1987,387.8,310.6,7170.6,6181.6,988.9
1988,381.6,314.5,7552.2,6496.2,1056.0
1989,307.0,265.2,7859.2,6761.3,1097.9
1990,236.4,216.0,8095.6,6977.4,1118.3
1991,216.7,188.3,8312.3,7165.7,1146.7
1992,189.2,171.1,8501.5,7336.8,1164.7
1993,149.3,157.9,8650.9,7494.7,1156.1
1994,61.1,78.7,8712.0,7573.4,1138.6
1995,33.2,68.7,8745.2,7642.1,1103.1
1996,22.5,65.5,8767.6,7707.6,1060.0
1997,18.9,58.7,8786.5,7766.3,1020.2
1998,14.8,52.4,8801.3,7818.7,982.6
1999,13.1,48.3,8814.4,7867.0,947.4
2000,10.0,44.8,8824.4,7911.8,912.6
2001,8.4,41.1,8832.9,7952.9,880.0
2002,6.9,37.4,8839.8,7990.3,849.5
2003,3.2,34.5,8843.0,8024.8,818.2
